sku,title,description,price,availability,imageURL,linkURL
81840, Popsicle® Snow Cone,On a hot summers day this will always be the best icy treat. This officially licensed Popsicle® Snow Cone glass ornament is just the sweet treat needed to complete your holiday tree!,16.99,TRUE,https://www.katandannie.com/img/product/81840.frt-Z.jpg?fv=5EC6312671F12B7A5FC9F5AD50B5137C-64581,https://www.katandannie.com/popsicle-snow-cone-81840
71816,"""Define Naughty"" Round","With contrasting brilliant red finish and dazzling white glittered lettering, you will be able to push the edge of ""naughty"" with this cheeky glass round!",6.99,FALSE,https://www.katandannie.com/img/product/71816_1-Z.jpg?fv=913A963401189C613E55EB7DA6FC7944-52722,https://www.katandannie.com/define-naughty-round-71816
71818,"""Merry Christmas"" Round with Bells","Sparkling glittered lettering reads ""Merry Christmas,"" while a scarf-like red and white twine wrapped cap is finished with jingle bells.",6.99,TRUE,https://www.katandannie.com/img/product/71818_1-Z.jpg?fv=E5085B7BD5677837E71674635BE84836-66927,https://www.katandannie.com/merry-christmas-round-with-bells-71818
71796,"""Tis the Season"" Round","Sparkling green glittered lettering reads ""Tis' the Season,"" while a red and white twin with jingle bells wraps around the topper like a soft scarf.",6.99,TRUE,https://www.katandannie.com/img/product/71796_1-Z.jpg?fv=F11CCD0FC9EA7D94DC1CAC587410A81C-50997,https://www.katandannie.com/tis-the-season-round-71796
71776,"""White Joy"" Round","Blue, red, and gold glitter makes up the whimsical lettering on this cheerful white glass round.",6.99,TRUE,https://www.katandannie.com/img/product/71776_1-Z.jpg?fv=640B9F348432DFFC3146DF350BE6E040-61272,https://www.katandannie.com/white-joy-round-71776
73869,12 Count Blushing Hues,These sunflowers will illuminate any tree with the perfect shades of pinks and reds.,15.99,TRUE,https://www.katandannie.com/img/product/73869_1-Z.jpg?fv=05955E430E2CF42DFA25057B29B6B1EB-102356,https://www.katandannie.com/12-count-blushing-hues-73869
73373,12 Count Christmas Farmhouse ,"Red, green, and cream glass ornaments make this 12 count box set a perfect gift for anyone looking to get into the Christmas spirit. ",12.99,TRUE,https://www.katandannie.com/img/product/73373-Z.jpg?fv=10D98B22BBAE3A900C08B446C9C9A34A-107156,https://www.katandannie.com/12-count-christmas-farmhouse-73373
73865,12 Count Classic Rounds,"These classic red, green & gold rounds are the perfect fillers to make sure your tree is looking cheery and bright. ",15.99,TRUE,https://www.katandannie.com/img/product/73865_1-Z.jpg?fv=B3CF7E2DE7179B243200D75391DA674F-99410,https://www.katandannie.com/12-count-classic-rounds-73865
73866,12 Count Finial Pop,Pops of bright colors make these finials a must have to hang on your Christmas tree this year. ,15.99,TRUE,https://www.katandannie.com/img/product/73866_1-Z.jpg?fv=5454A0FEE761CB2B4D6D8CC46A60F2E8-86620,https://www.katandannie.com/12-count-finial-pop-73866
73409,12 Count Modern Jungle ,"A festive mix of blue, green and gold rounds are gathered together to create this beautiful 12 count glass ornament box set in our modern jungle colors.  ",12.99,TRUE,https://www.katandannie.com/img/product/73409-Z.jpg?fv=8547B9743BE89D1B74D68FA7C31F328C-130681,https://www.katandannie.com/12-count-modern-jungle-73409
73403,12 Count Polished Metallics ,The  spectacular acid finish on each glass ornament in our 12 piece set radiates all the light from your Christmas tree. ,12.99,FALSE,https://www.katandannie.com/img/product/73403-Z.jpg?fv=C59AC7CD65B760BB8948AE747A418902-138053,https://www.katandannie.com/12-count-polished-metallics-73403
73868,12 Count Primary Onions,"These primary onion shaped ornaments are a real show stopper! With their vivid colors, they will be sure to add that extra pop to your tree. ",15.99,FALSE,https://www.katandannie.com/img/product/73868_1-Z.jpg?fv=A08786CA9EEA1CD81DBD3397856E4D25-81479,https://www.katandannie.com/12-count-primary-onions-73868
73379,12 Count Rounds Rainbow,"Chic and glittery, this 12 count Rainbow glass ornament box set will add the perfect splash of color to the Christmas season. ",12.99,TRUE,https://www.katandannie.com/img/product/73379-Z.jpg?fv=728979DA136BB3AC94E34CCFFAB3569C-151159,https://www.katandannie.com/12-count-rounds-rainbow-73379
73864,12 Count Rustic Molded Rounds,"The rustic, ridged rounds in this year’s vintage colors will leave your tree looking stylish with an antiqued touch.",15.99,FALSE,https://www.katandannie.com/img/product/73864_1-Z.jpg?fv=A0F19ADBAED19FAFF7AFF9240FF0ABA7-100260,https://www.katandannie.com/12-count-rustic-molded-rounds-73864
73861,12 Count Star Brights,This brightly colored star filled ornament box will be sure to have your tree shining bright all through the night.,15.99,TRUE,https://www.katandannie.com/img/product/73861_1-Z.jpg?fv=93CEE69AD5C36A4368C2F098732A70A2-101122,https://www.katandannie.com/12-count-star-brights-73861
73391,12 Count Traditional Holiday,Add a dazzling touch of the Christmas spirit to your holiday tree with this 12 count Traditional Holiday glass ornament box set.,12.99,TRUE,https://www.katandannie.com/img/product/73391-Z.jpg?fv=715A472643DA142C8EDD96143CE7937B-137341,https://www.katandannie.com/12-count-traditional-holiday-73391
73853,25 Count Blushing Hues,"This Blushing Hues box of 25 features .75"" rounds that are a foolproof gift for any Holiday party. These ornaments are the perfect size for filling a tree or decorating your Holiday table. ",8.99,TRUE,https://www.katandannie.com/img/product/73853_1-Z.jpg?fv=EF7048A82B6E449CFD57020500AA79E1-66390,https://www.katandannie.com/25-count-blushing-hues-73853
73857,25 Count Burst of Brights,"This Burst of Brights box of 25 features .75"" rounds that are a foolproof gift for any Holiday party. These ornaments are the perfect size for filling a tree or decorating your Holiday table. ",8.99,TRUE,https://www.katandannie.com/img/product/73857_1-Z.jpg?fv=7DF8149A754023CC279D72B80E10191F-69668,https://www.katandannie.com/25-count-burst-of-brights-73857
73856,25 Count Christmas Brights,"This Christmas Brights box of 25 features .75"" rounds that are a foolproof gift for any Holiday party. These ornaments are the perfect size for filling a tree or decorating your Holiday table. ",8.99,TRUE,https://www.katandannie.com/img/product/73856_1-Z.jpg?fv=0919684B40A00A1782EE9566AEFACD60-79979,https://www.katandannie.com/25-count-christmas-brights-73856
73374,25 Count Christmas Farmhouse ,"This adorable set of 25 count glass ornaments features .75"" rounds, the perfect size for filling a mini tree or decorating your holiday table. ",8.99,TRUE,https://www.katandannie.com/img/product/73374-Z.jpg?fv=2EF154FA44C73D3E48CFDB4295D9DB5A-98947,https://www.katandannie.com/25-count-christmas-farmhouse-73374
73855,25 Count Classic Christmas,"This Classic Christmas box of 25 features .75"" rounds that are a foolproof gift for any Holiday party. These ornaments are the perfect size for filling a tree or decorating your Holiday table. ",8.99,TRUE,https://www.katandannie.com/img/product/73855_1-Z.jpg?fv=0EACCF5EDE3240D3A0DA48932B8B7D6A-70309,https://www.katandannie.com/25-count-classic-christmas-73855
73858,25 Count Frosted Whites,"This Frosted Whites box of 25 features .75"" rounds that are a foolproof gift for any Holiday party. These ornaments are the perfect size for filling a tree or decorating your Holiday table. ",8.99,FALSE,https://www.katandannie.com/img/product/73858_1-Z.jpg?fv=73A70C0C3DBD2BC7D1D8C101FE592D7A-72215,https://www.katandannie.com/25-count-frosted-whites-73858
73410,25 Count Modern Jungle ,The vibrant colors in this 25 count glass ornament box set will charm any holiday setting. ,8.99,TRUE,https://www.katandannie.com/img/product/73410-Z.jpg?fv=1279E2167F33FBC37FBB500BCE13C111-125565,https://www.katandannie.com/25-count-modern-jungle-73410
78480,25 count radiant reds,"This Radiant Reds box of 25 features .75"" rounds that are a foolproof gift for any Holiday party. These ornaments are the perfect size for filling a tree or decorating your Holiday table.",8.99,FALSE,https://www.katandannie.com/img/product/78480_1-Z.jpg?fv=1DEE699CF622B937EAF46D29B1AD324D-89415,https://www.katandannie.com/25-count-radiant-reds-78480
